SS,SE,ES,EE,SM,_F,Search,Explore,Obey,Ignore,Actual_Search,Actual_Explore
0,0,0,1,1,0.000505561172901921,0,1,1,0,0,1
0,0,0,1,1,0.000505561172901921,0,1,1,0,0,1
0,0,0,1,1,0.000505561172901921,0,1,1,0,0,1
0,0,0,1,1,0.000505561172901921,0,1,1,0,0,1
0,0,0,1,1,0.000505561172901921,0,1,1,0,0,1
0,0,0,1,1,0.000505561172901921,0,1,1,0,0,1
0,0,0,1,1,0.000505561172901921,0,1,1,0,0,1
0,0,0,1,1,0.000505561172901921,0,1,1,0,0,1
0,0,0,1,1,0.000505561172901921,0,1,1,0,0,1
0,0,0,1,1,0.000505561172901921,0,1,1,0,0,1
0,0,0,1,1,0.000505561172901921,0,1,1,0,0,1
0,0,0,1,1,0.000505561172901921,0,1,1,0,0,1
0,0,0,1,1,0.000505561172901921,0,1,1,0,0,1
0,0,0,1,1,0.000505561172901921,0,1,1,0,0,1
0,0,0,1,1,0.000505561172901921,0,1,1,0,0,1
0,0,0,1,1,0.000505561172901921,0,1,1,0,0,1
0,0,0,1,1,0.000505561172901921,0,1,1,0,0,1
0,0,0,1,1,0.000505561172901921,0,1,1,0,0,1
0,0,0,1,1,0.000505561172901921,0,1,1,0,0,1
0,0,0,2,2,0.00101112234580384,0,2,2,0,0,2
0,0,0,2,2,0.00101112234580384,0,2,2,0,0,2
0,0,0,2,2,0.00101112234580384,0,2,2,0,0,2
0,0,0,2,2,0.00101112234580384,0,2,2,0,0,2
0,0,0,2,2,0.00101112234580384,0,2,2,0,0,2
0,0,0,2,2,0.00101112234580384,0,2,2,0,0,2
0,0,0,2,2,0.00101112234580384,0,2,2,0,0,2
0,0,0,2,2,0.00101112234580384,0,2,2,0,0,2
0,0,0,2,2,0.00101112234580384,0,2,2,0,0,2
0,0,0,2,2,0.00101112234580384,0,2,2,0,0,2
0,0,0,2,2,0.00101112234580384,0,2,2,0,0,2
0,0,0,2,2,0.00101112234580384,0,2,2,0,0,2
0,0,0,2,2,0.00101112234580384,0,2,2,0,0,2
0,0,0,2,2,0.00101112234580384,0,2,2,0,0,2
0,0,0,2,2,0.00101112234580384,0,2,2,0,0,2
0,0,0,2,2,0.00101112234580384,0,2,2,0,0,2
0,0,0,2,2,0.00101112234580384,0,2,2,0,0,2
0,0,0,2,2,0.00101112234580384,0,2,2,0,0,2
0,0,0,2,2,0.00101112234580384,0,2,2,0,0,2
0,0,0,2,2,0.00101112234580384,0,2,2,0,0,2
0,0,0,3,3,0.00151668351870576,0,3,3,0,0,3
0,0,0,3,3,0.00151668351870576,0,3,3,0,0,3
0,0,0,3,3,0.00151668351870576,0,3,3,0,0,3
0,0,0,3,3,0.00151668351870576,0,3,3,0,0,3
0,0,0,3,3,0.00151668351870576,0,3,3,0,0,3
0,0,0,3,3,0.00151668351870576,0,3,3,0,0,3
0,0,1,2,3,0.00151668351870576,0,3,2,1,1,2
0,0,0,3,3,0.00151668351870576,0,3,3,0,0,3
0,0,1,2,3,0.00151668351870576,0,3,2,1,1,2
0,0,0,3,3,0.00151668351870576,0,3,3,0,0,3
0,0,0,3,3,0.00151668351870576,0,3,3,0,0,3
0,0,0,3,3,0.00151668351870576,0,3,3,0,0,3
0,0,1,2,3,0.00151668351870576,0,3,2,1,1,2
0,0,0,3,3,0.00151668351870576,0,3,3,0,0,3
0,0,0,3,3,0.00151668351870576,0,3,3,0,0,3
0,0,0,3,3,0.00151668351870576,0,3,3,0,0,3
0,0,0,3,3,0.00151668351870576,0,3,3,0,0,3
0,0,0,3,3,0.00151668351870576,0,3,3,0,0,3
0,0,0,3,3,0.00151668351870576,0,3,3,0,0,3
0,0,0,3,3,0.00151668351870576,0,3,3,0,0,3
0,0,0,4,4,0.00202224469160768,0,4,4,0,0,4
0,0,0,4,4,0.00202224469160768,0,4,4,0,0,4
0,0,0,4,4,0.00202224469160768,0,4,4,0,0,4
0,0,0,4,4,0.00202224469160768,0,4,4,0,0,4
0,0,0,4,4,0.00202224469160768,0,4,4,0,0,4
0,0,0,4,4,0.00202224469160768,0,4,4,0,0,4
0,0,2,2,4,0.00202224469160768,0,4,2,2,2,2
0,0,0,4,4,0.00202224469160768,0,4,4,0,0,4
0,0,2,2,4,0.00202224469160768,0,4,2,2,2,2
0,0,0,4,4,0.00202224469160768,0,4,4,0,0,4
0,0,0,4,4,0.00202224469160768,0,4,4,0,0,4
0,0,0,4,4,0.00202224469160768,0,4,4,0,0,4
0,0,2,2,4,0.00202224469160768,0,4,2,2,2,2
0,0,0,4,4,0.00202224469160768,0,4,4,0,0,4
0,0,0,4,4,0.00202224469160768,0,4,4,0,0,4
0,0,0,4,4,0.00202224469160768,0,4,4,0,0,4
0,0,0,4,4,0.00202224469160768,0,4,4,0,0,4
0,0,0,4,4,0.00202224469160768,0,4,4,0,0,4
0,0,0,4,4,0.00202224469160768,0,4,4,0,0,4
0,0,0,4,4,0.00202224469160768,0,4,4,0,0,4
0,0,0,5,5,0.00252780586450961,0,5,5,0,0,5
0,0,0,5,5,0.00252780586450961,0,5,5,0,0,5
0,0,0,5,5,0.00252780586450961,0,5,5,0,0,5
0,0,0,5,5,0.00252780586450961,0,5,5,0,0,5
0,0,0,5,5,0.00252780586450961,0,5,5,0,0,5
0,0,0,5,5,0.00252780586450961,0,5,5,0,0,5
0,0,2,3,5,0.00252780586450961,0,5,3,2,2,3
0,0,0,5,5,0.00252780586450961,0,5,5,0,0,5
0,0,3,2,5,0.00252780586450961,0,5,2,3,3,2
0,0,0,5,5,0.00252780586450961,0,5,5,0,0,5
0,0,0,5,5,0.00252780586450961,0,5,5,0,0,5
0,0,0,5,5,0.00252780586450961,0,5,5,0,0,5
0,0,2,3,5,0.00252780586450961,0,5,3,2,2,3
0,0,0,5,5,0.00252780586450961,0,5,5,0,0,5
0,0,0,5,5,0.00252780586450961,0,5,5,0,0,5
0,0,0,5,5,0.00252780586450961,0,5,5,0,0,5
0,0,0,5,5,0.00252780586450961,0,5,5,0,0,5
0,0,0,5,5,0.00252780586450961,0,5,5,0,0,5
0,0,0,5,5,0.00252780586450961,0,5,5,0,0,5
0,0,0,5,5,0.00252780586450961,0,5,5,0,0,5
0,0,0,6,6,0.00303336703741153,0,6,6,0,0,6
0,0,0,6,6,0.00303336703741153,0,6,6,0,0,6
0,0,0,6,6,0.00303336703741153,0,6,6,0,0,6
0,0,0,6,6,0.00303336703741153,0,6,6,0,0,6
0,0,0,6,6,0.00303336703741153,0,6,6,0,0,6
0,0,0,6,6,0.00303336703741153,0,6,6,0,0,6
0,0,2,4,6,0.00303336703741153,0,6,4,2,2,4
0,0,0,6,6,0.00303336703741153,0,6,6,0,0,6
0,0,4,2,6,0.00303336703741153,0,6,2,4,4,2
0,0,0,6,6,0.00303336703741153,0,6,6,0,0,6
0,0,0,6,6,0.00303336703741153,0,6,6,0,0,6
0,0,0,6,6,0.00303336703741153,0,6,6,0,0,6
0,0,2,4,6,0.00303336703741153,0,6,4,2,2,4
0,0,0,6,6,0.00303336703741153,0,6,6,0,0,6
0,0,0,6,6,0.00303336703741153,0,6,6,0,0,6
0,0,0,6,6,0.00303336703741153,0,6,6,0,0,6
0,0,0,6,6,0.00303336703741153,0,6,6,0,0,6
0,0,0,6,6,0.00303336703741153,0,6,6,0,0,6
0,0,0,6,6,0.00303336703741153,0,6,6,0,0,6
0,0,0,6,6,0.00303336703741153,0,6,6,0,0,6
0,0,0,7,7,0.00353892821031345,0,7,7,0,0,7
0,0,0,7,7,0.00353892821031345,0,7,7,0,0,7
0,0,0,7,7,0.00353892821031345,0,7,7,0,0,7
0,0,0,7,7,0.00353892821031345,0,7,7,0,0,7
0,0,0,7,7,0.00353892821031345,0,7,7,0,0,7
0,0,0,7,7,0.00353892821031345,0,7,7,0,0,7
0,0,2,5,7,0.00353892821031345,0,7,5,2,2,5
0,0,0,7,7,0.00353892821031345,0,7,7,0,0,7
0,0,5,2,7,0.00353892821031345,0,7,2,5,5,2
0,0,0,7,7,0.00353892821031345,0,7,7,0,0,7
0,0,0,7,7,0.00353892821031345,0,7,7,0,0,7
0,0,0,7,7,0.00353892821031345,0,7,7,0,0,7
0,0,2,5,7,0.00353892821031345,0,7,5,2,2,5
0,0,0,7,7,0.00353892821031345,0,7,7,0,0,7
0,0,0,7,7,0.00353892821031345,0,7,7,0,0,7
0,0,0,7,7,0.00353892821031345,0,7,7,0,0,7
0,0,0,7,7,0.00353892821031345,0,7,7,0,0,7
0,0,0,7,7,0.00353892821031345,0,7,7,0,0,7
0,0,0,7,7,0.00353892821031345,0,7,7,0,0,7
0,0,0,7,7,0.00353892821031345,0,7,7,0,0,7
0,0,0,8,8,0.00404448938321537,0,8,8,0,0,8
0,0,0,8,8,0.00404448938321537,0,8,8,0,0,8
0,0,0,8,8,0.00404448938321537,0,8,8,0,0,8
0,0,0,8,8,0.00404448938321537,0,8,8,0,0,8
0,0,0,8,8,0.00404448938321537,0,8,8,0,0,8
0,0,0,8,8,0.00404448938321537,0,8,8,0,0,8
0,0,2,6,8,0.00404448938321537,0,8,6,2,2,6
0,0,0,8,8,0.00404448938321537,0,8,8,0,0,8
0,0,6,2,8,0.00404448938321537,0,8,2,6,6,2
0,0,0,8,8,0.00404448938321537,0,8,8,0,0,8
0,0,0,8,8,0.00404448938321537,0,8,8,0,0,8
0,0,0,8,8,0.00404448938321537,0,8,8,0,0,8
0,0,2,6,8,0.00404448938321537,0,8,6,2,2,6
0,0,0,8,8,0.00404448938321537,0,8,8,0,0,8
0,0,0,8,8,0.00404448938321537,0,8,8,0,0,8
0,0,0,8,8,0.00404448938321537,0,8,8,0,0,8
0,0,0,8,8,0.00404448938321537,0,8,8,0,0,8
0,0,0,8,8,0.00404448938321537,0,8,8,0,0,8
0,0,0,8,8,0.00404448938321537,0,8,8,0,0,8
0,0,0,8,8,0.00404448938321537,0,8,8,0,0,8
0,0,0,9,9,0.00455005055611729,0,9,9,0,0,9
0,0,0,9,9,0.00455005055611729,0,9,9,0,0,9
0,0,0,9,9,0.00455005055611729,0,9,9,0,0,9
0,0,0,9,9,0.00455005055611729,0,9,9,0,0,9
0,0,0,9,9,0.00455005055611729,0,9,9,0,0,9
0,0,0,9,9,0.00455005055611729,0,9,9,0,0,9
0,0,2,7,9,0.00455005055611729,0,9,7,2,2,7
0,0,0,9,9,0.00455005055611729,0,9,9,0,0,9
0,0,7,2,9,0.00455005055611729,0,9,2,7,7,2
0,0,0,9,9,0.00455005055611729,0,9,9,0,0,9
0,0,0,9,9,0.00455005055611729,0,9,9,0,0,9
0,0,0,9,9,0.00455005055611729,0,9,9,0,0,9
0,0,2,7,9,0.00455005055611729,0,9,7,2,2,7
0,0,0,9,9,0.00455005055611729,0,9,9,0,0,9
0,0,0,9,9,0.00455005055611729,0,9,9,0,0,9
0,0,0,9,9,0.00455005055611729,0,9,9,0,0,9
0,0,0,9,9,0.00455005055611729,0,9,9,0,0,9
0,0,0,9,9,0.00455005055611729,0,9,9,0,0,9
0,0,0,9,9,0.00455005055611729,0,9,9,0,0,9
0,0,0,9,9,0.00455005055611729,0,9,9,0,0,9
0,0,0,10,10,0.00505561172901921,0,10,10,0,0,10
0,0,0,10,10,0.00505561172901921,0,10,10,0,0,10
0,0,0,10,10,0.00505561172901921,0,10,10,0,0,10
0,0,0,10,10,0.00505561172901921,0,10,10,0,0,10
0,0,0,10,10,0.00505561172901921,0,10,10,0,0,10
0,0,0,10,10,0.00505561172901921,0,10,10,0,0,10
0,0,2,8,10,0.00505561172901921,0,10,8,2,2,8
0,0,0,10,10,0.00505561172901921,0,10,10,0,0,10
0,0,8,2,10,0.00505561172901921,0,10,2,8,8,2
0,0,0,10,10,0.00505561172901921,0,10,10,0,0,10
0,0,0,10,10,0.00505561172901921,0,10,10,0,0,10
0,0,0,10,10,0.00505561172901921,0,10,10,0,0,10
0,0,2,8,10,0.00505561172901921,0,10,8,2,2,8
0,0,0,10,10,0.00505561172901921,0,10,10,0,0,10
0,0,0,10,10,0.00505561172901921,0,10,10,0,0,10
0,0,0,10,10,0.00505561172901921,0,10,10,0,0,10
0,0,0,10,10,0.00505561172901921,0,10,10,0,0,10
0,0,0,10,10,0.00505561172901921,0,10,10,0,0,10
0,0,0,10,10,0.00505561172901921,0,10,10,0,0,10
0,0,0,10,10,0.00505561172901921,0,10,10,0,0,10
0,0,0,11,11,0.00556117290192113,0,11,11,0,0,11
0,0,0,11,11,0.00556117290192113,0,11,11,0,0,11
0,0,0,11,11,0.00556117290192113,0,11,11,0,0,11
0,0,0,11,11,0.00556117290192113,0,11,11,0,0,11
0,0,0,11,11,0.00556117290192113,0,11,11,0,0,11
0,0,0,11,11,0.00556117290192113,0,11,11,0,0,11
0,0,2,9,11,0.00556117290192113,0,11,9,2,2,9
0,0,0,11,11,0.00556117290192113,0,11,11,0,0,11
0,0,9,2,11,0.00556117290192113,0,11,2,9,9,2
0,0,0,11,11,0.00556117290192113,0,11,11,0,0,11
0,0,0,11,11,0.00556117290192113,0,11,11,0,0,11
0,0,0,11,11,0.00556117290192113,0,11,11,0,0,11
0,0,2,9,11,0.00556117290192113,0,11,9,2,2,9
0,0,0,11,11,0.00556117290192113,0,11,11,0,0,11
0,0,0,11,11,0.00556117290192113,0,11,11,0,0,11
0,0,0,55,55,0.0278058645096057,0,55,55,0,0,55
0,0,15,225,240,0.121334681496461,0,240,225,15,15,225
0,0,16,244,260,0.131445904954499,0,260,244,16,16,244
0,0,17,263,280,0.141557128412538,0,280,263,17,17,263
0,0,18,282,300,0.151668351870576,0,300,282,18,18,282
0,0,19,301,320,0.161779575328615,0,320,301,19,19,301
1,19,19,301,340,0.171890798786653,20,320,302,38,20,320
1,39,19,301,360,0.182002022244692,40,320,302,58,20,340
1,59,19,301,380,0.19211324570273,60,320,302,78,20,360
1,79,19,301,400,0.202224469160768,80,320,302,98,20,380
1,99,19,301,420,0.212335692618807,100,320,302,118,20,400
1,119,19,301,440,0.222446916076845,120,320,302,138,20,420
1,139,19,301,460,0.232558139534884,140,320,302,158,20,440
1,159,19,301,480,0.242669362992922,160,320,302,178,20,460
1,179,19,301,500,0.252780586450961,180,320,302,198,20,480
1,199,19,301,520,0.262891809908999,200,320,302,218,20,500
1,219,19,301,540,0.273003033367037,220,320,302,238,20,520
1,239,19,301,560,0.283114256825076,240,320,302,258,20,540
1,259,19,301,580,0.293225480283114,260,320,302,278,20,560
1,279,19,301,600,0.303336703741153,280,320,302,298,20,580
1,299,19,301,620,0.313447927199191,300,320,302,318,20,600
1,319,19,301,640,0.32355915065723,320,320,302,338,20,620
1,339,19,301,660,0.333670374115268,340,320,302,358,20,640
1,359,19,301,680,0.343781597573306,360,320,302,378,20,660
1,379,19,301,700,0.353892821031345,380,320,302,398,20,680
2,398,19,301,720,0.364004044489383,400,320,303,417,21,699
3,417,19,301,740,0.374115267947422,420,320,304,436,22,718
4,436,19,301,760,0.38422649140546,440,320,305,455,23,737
4,436,23,317,780,0.394337714863499,440,340,321,459,27,753
4,436,27,333,800,0.404448938321537,440,360,337,463,31,769
4,436,31,349,820,0.414560161779575,440,380,353,467,35,785
4,436,35,365,840,0.424671385237614,440,400,369,471,39,801
4,436,39,381,860,0.434782608695652,440,420,385,475,43,817
4,436,41,399,880,0.444893832153691,440,440,403,477,45,835
4,436,44,416,900,0.455005055611729,440,460,420,480,48,852
4,436,47,433,920,0.465116279069767,440,480,437,483,51,869
4,436,49,451,940,0.475227502527806,440,500,455,485,53,887
4,436,52,468,960,0.485338725985844,440,520,472,488,56,904
4,436,55,485,980,0.495449949443883,440,540,489,491,59,921
4,436,60,500,1000,0.505561172901921,440,560,504,496,64,936
4,436,65,515,1020,0.51567239635996,440,580,519,501,69,951
4,436,70,530,1040,0.525783619817998,440,600,534,506,74,966
4,436,74,546,1060,0.535894843276036,440,620,550,510,78,982
4,436,78,562,1080,0.546006066734075,440,640,566,514,82,998
4,436,83,577,1100,0.556117290192113,440,660,581,519,87,1013
4,436,88,592,1120,0.566228513650152,440,680,596,524,92,1028
4,436,93,607,1140,0.57633973710819,440,700,611,529,97,1043
4,436,98,622,1160,0.586450960566228,440,720,626,534,102,1058
4,436,103,637,1180,0.596562184024267,440,740,641,539,107,1073
4,436,107,653,1200,0.606673407482305,440,760,657,543,111,1089
4,436,110,670,1220,0.616784630940344,440,780,674,546,114,1106
4,436,111,689,1240,0.626895854398382,440,800,693,547,115,1125
4,436,112,708,1260,0.637007077856421,440,820,712,548,116,1144
4,436,113,727,1280,0.647118301314459,440,840,731,549,117,1163
4,436,115,745,1300,0.657229524772498,440,860,749,551,119,1181
